id,lat,lng,price,gross size,rooms,type,planta
7988,39.82070517,-0.231334862,0,23,0,garage,1
21556,36.66239126,-4.55951538,0,23,0,house,0
27043,36.62618955,-6.3511842,0,23,0,garage,0
662,37.23033733,-3.65307554,0,24,0,garage,1
1558,38.88497487,-0.211034883,0,24,0,garage,2
2788,39.86310543,-0.077769564,0,24,0,garage,2
3834,37.2050092,-3.634766971,0,24,0,garage,0
6666,40.6370501,-3.234363451,0,24,0,garage,1
11846,41.34695544,1.708052204,0,24,0,garage,0
17551,41.37464068,2.15868169,0,24,0,garage,0
990,39.23454902,-0.52445671,0,25,0,garage,0
1460,41.82664482,2.714623344,0,25,0,house,1
1831,43.36678133,-8.422041684,0,25,0,garage,1
5723,38.34760332,-0.483280852,0,25,0,house,0
9082,41.42296059,2.146856529,0,25,0,garage,2
14557,41.42839101,2.173917109,0,25,0,garage,2
16271,28.52374259,-16.39459106,0,25,0,land,0
16728,36.71201467,-4.43990116,0,25,0,premise,2
16954,36.71201467,-4.43990116,0,25,0,premise,2
20298,41.42614067,2.172153885,0,25,0,land,2
29928,40.4014711,-3.7024507,0,25,0,flat,4
30142,40.3475014,-3.805774256,0,25,0,garage,1
625,41.37259412,2.165591112,0,26,0,house,0
1574,39.590634,-0.591252853,0,26,0,garage,2
1708,41.64255512,2.738702017,0,26,0,garage,1
2210,41.57282909,2.013235827,0,26,0,premise,2
4800,37.25882884,-6.522131253,0,26,0,garage,1
5888,37.68914315,-0.962792223,0,26,0,garage,2
6558,43.38090978,-3.223627295,0,26,0,garage,1
6559,43.38090978,-3.223627295,0,26,0,garage,1
6561,43.38145323,-3.22434839,0,26,0,garage,1
10278,41.72398334,1.82398098,0,26,0,garage,2
16094,39.55504781,2.611929176,0,26,0,flat,12
16553,36.72766171,-4.366898525,0,26,0,garage,0
17221,41.96653467,2.821255046,0,26,0,garage,2
22110,41.42328281,2.14992481,0,26,0,garage,0
28904,41.49408703,2.127012795,0,26,0,garage,1
29479,40.00287623,3.832187224,0,26,0,land,0
30204,40.4016671,-3.6959984,0,26,0,premise,2
30210,38.01028009,-1.153955284,0,26,0,land,3
1559,40.62109553,-4.010449362,0,27,0,garage,0
1702,41.45168887,2.202683089,0,27,0,garage,1
2806,41.37542155,2.108868782,0,27,0,garage,1
4055,39.71201689,3.461044796,0,27,0,garage,1
4374,37.38577149,-6.076003664,0,27,0,land,0
4534,37.22410266,-7.314707144,0,27,0,house,0
5741,37.91287832,-0.737449615,0,27,0,garage,1
6108,37.25874598,-6.520873025,0,27,0,premise,2
6546,38.61354868,-1.112959562,0,27,0,garage,1
6567,38.61354868,-1.112959562,0,27,0,garage,1
10456,41.70109313,2.853250248,0,27,0,premise,1
24660,35.91579827,-5.374309493,0,27,0,land,0
30739,39.61677197,-0.314413347,0,27,0,land,0
156,41.36218476,2.110190609,0,28,0,garage,1
2783,28.38714305,-16.58453104,0,28,0,garage,1
2927,42.36518195,-3.669145926,0,28,0,garage,1
2949,41.52324356,1.957423248,0,28,0,garage,1
5053,41.67143442,0.607498593,0,28,0,premise,2
6286,43.38090978,-3.223627295,0,28,0,garage,1
6305,38.64560275,0.043948362,0,28,0,garage,2
6306,38.64560275,0.043948362,0,28,0,garage,2
6538,40.64176304,-3.150045447,0,28,0,garage,1
6691,41.35477888,1.702739355,0,28,0,garage,0
17258,39.98580694,-0.030889898,0,28,0,garage,2
24277,42.113991,2.761481889,0,28,0,garage,2
25647,39.52796721,2.545181248,0,28,0,flat,3
28323,40.95172737,-5.672385658,0,28,0,garage,0
29714,40.4522491,-3.7083994,0,28,0,house,2
1938,40.48602788,-3.369288307,0,29,0,garage,1
3200,38.47932387,-1.317552006,0,29,0,garage,0
5529,37.33213503,-5.829573244,0,29,0,garage,1
12571,41.35078829,1.699525232,0,29,0,premise,2
17025,28.1355465,-15.43503464,0,29,0,garage,1
17729,41.30416116,2.008900545,0,29,0,premise,0
18279,39.49463792,-0.466614968,0,29,0,premise,2
19071,37.67581076,-1.696070112,0,29,0,garage,0
20133,41.37372132,2.166358322,0,29,0,flat,3
1247,41.38883106,2.180446139,0,30,0,flat,5
1679,42.11524948,3.130416362,0,30,0,flat,3
2811,42.02152415,2.823964227,0,30,0,garage,0
4038,40.44728212,-3.47165346,0,30,0,garage,1
4039,40.44728212,-3.47165346,0,30,0,garage,1
6308,38.64560275,0.043948362,0,30,0,garage,2
6315,38.64560275,0.043948362,0,30,0,garage,2
6316,38.64560275,0.043948362,0,30,0,garage,2
6560,43.38090978,-3.223627295,0,30,0,garage,1
8321,41.54413532,2.113429472,0,30,0,premise,2
16259,41.39227612,2.138263113,0,30,0,garage,0
24115,41.78681843,1.099138832,0,30,0,garage,5
30003,40.34667095,-3.832169699,0,30,0,land,0
30148,40.3475014,-3.805774256,0,30,0,garage,1
384,42.69924812,-8.245807293,0,31,0,garage,3
455,42.69924812,-8.245807293,0,31,0,garage,3
800,37.93211666,-5.758387299,0,31,0,garage,0
801,37.93211666,-5.758387299,0,31,0,garage,0
855,37.93211666,-5.758387299,0,31,0,garage,0
856,37.93211666,-5.758387299,0,31,0,garage,0
1663,37.93211666,-5.758387299,0,31,0,garage,0
1665,37.93211666,-5.758387299,0,31,0,garage,0
2231,36.60154963,-4.533100742,0,31,0,house,2
2241,41.24645327,1.798020301,0,31,0,garage,1
2243,41.24645327,1.798020301,0,31,0,garage,1
2271,41.24645327,1.798020301,0,31,0,garage,1
2835,41.24645327,1.798020301,0,31,0,garage,1
2836,41.24645327,1.798020301,0,31,0,garage,1
2839,41.24645327,1.798020301,0,31,0,garage,1
4688,37.80015103,-0.803648536,0,31,0,garage,0
6253,38.64560275,0.043948362,0,31,0,garage,2
6312,38.64560275,0.043948362,0,31,0,garage,2
15401,38.35630478,-0.472639072,0,31,0,garage,0
16585,36.61763114,-4.502403805,0,31,0,garage,1
20002,42.26530343,2.952917941,0,31,0,house,1
26848,36.79482743,-3.298027618,0,31,0,land,0
3440,36.62675446,-4.501985145,0,32,0,flat,11
5733,37.37952503,-5.981249746,0,32,0,garage,1
10151,41.55835116,1.998503317,0,32,0,garage,0
19200,42.12413226,3.127142463,0,32,0,land,0
27991,40.36739557,-2.758646648,0,32,0,house,0
28010,38.98864608,-1.861574211,0,32,0,office,2
28775,41.37863,2.165940832,0,32,0,flat,5
481,40.50079766,-4.238719183,0,33,0,garage,2
2101,43.36678133,-8.422041684,0,33,0,garage,1
2493,43.36678133,-8.422041684,0,33,0,garage,1
